,method,overlap_perc,overlap_perc_import,overlap_perc_import_0.1,ratio
0,combine_rank_3,0.173,0.108,1.0,0.005
1,epe_nas,0.707,0.854,1.0,0.435
2,fisher,0.791,0.312,1.0,0.662
3,flops,0.127,0.178,1.0,0.03
4,grad_norm,0.757,0.255,1.0,0.518
5,grasp,0.581,0.223,1.0,0.38
6,jacov,0.172,0.172,1.0,0.063
7,l2_norm,0.13,0.115,1.0,0.036
8,nwot,0.1,0.096,1.0,0.032
9,params,0.127,0.178,1.0,0.03
10,plain,0.427,0.363,1.0,0.492
11,snip,0.762,0.274,1.0,0.516
12,synflow,0.1,0.057,1.0,0.003
13,zen,0.075,0.146,1.0,0.056
14,vote,0.539,0.586,1.0,0.175
15,intersection,0.368,0.567,1.0,0.057
